"date","year","week","case.uk","death.uk","case.sa","death.sa","case.br","death.br","case.in","death.in","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br","mob.bus.in","mob.full.in"
2020-03-29,2020,14,445.100185734286,55.85927427279,6.6286939104654,0.13324007860232,30.1691495333102,1.56079553037881,1.51077367883641,0.0447102472973068,-69.3809523809524,-41.2023809523809,-70.2142857142857,-42.9523809523809,-51.3809523809524,-34.5833333333333,-59.8809523809524,-42.0119047619048
2020-04-05,2020,15,471.974214537967,93.567949713634,7.37816935260345,0.266480157204639,48.4454109683747,3.1729945063689,3.86815752423796,0.145668870226709,-68.5714285714286,-38.4047619047619,-71.4285714285714,-43.7976190476191,-49.3809523809524,-31.6428571428571,-59.2619047619048,-39.6666666666667
2020-04-12,2020,16,469.848336645695,93.6999007552233,16.7549398842417,0.449685265282829,74.4462083666613,5.74783982744293,5.24696386024522,0.168023993875362,-69.2619047619048,-40.0357142857143,-70.3333333333333,-43.1904761904762,-44.4047619047619,-30.0833333333333,-59.7142857142857,-39.8333333333333
2020-04-19,2020,17,481.240109902902,81.8096457853459,22.1011980381598,0.566270334059858,105.919136202294,7.9581879887279,7.61588583398156,0.219224438360988,-63.8571428571429,-33.2380952380952,-66.5714285714286,-41.6547619047619,-45.6904761904762,-30.0357142857143,-60.2619047619048,-40.9166666666667
2020-04-26,2020,18,457.870114314759,63.600402046027,32.8936444049476,0.616235363535728,176.52877831015,12.6359015393542,9.67472060872044,0.359124244420303,-63.5952380952381,-36.0833333333333,-62.8571428571429,-38.2857142857143,-43,-28.1904761904762,-58.5,-39.6309523809524
2020-05-03,2020,19,334.759792511972,47.0625381668388,51.3640503011942,1.04926561899327,275.527141516962,18.2014927869026,16.6646629805397,0.561041490279107,-61.9047619047619,-30.3928571428571,-47.5952380952381,-27.8690476190476,-35.5714285714286,-21.9047619047619,-52.1904761904762,-34.2142857142857
2020-05-10,2020,20,290.02838941321,37.7966428019035,82.1924734878059,1.24912573689675,361.9269875085,23.3932407936417,20.0763433025326,0.555272426111713,-58.9047619047619,-28.3095238095238,-48.8095238095238,-29.4404761904762,-36.3809523809524,-23.952380952381,-46.952380952381,-30.0952380952381
2020-05-17,2020,21,237.893066758606,26.7567389889348,116.385208659126,2.43163143449233,532.198564575604,29.678480279748,29.4041989281884,0.718969621861529,-54.6904761904762,-20.4642857142857,-47.3809523809524,-28.9285714285714,-37.1904761904762,-24.5357142857143,-42.5238095238095,-26.75
2020-05-24,2020,22,157.520221203899,26.4928369057563,160.28781455859,3.93058231876843,705.825384728972,31.8748093195026,36.3479887866685,0.949732188557306,-52.2142857142857,-12.5119047619048,-42.5,-25.3095238095238,-35.8571428571429,-23,-40.4285714285714,-24.952380952381
2020-05-31,2020,23,123.770077010733,17.3002476750373,249.925077438301,5.14639803601459,815.006303207327,33.1598954597846,46.7258140907902,1.2699152498477,-48.9761904761905,-18.1309523809524,-32.4761904761905,-17.7857142857143,-31.047619047619,-19.3333333333333,-34.8333333333333,-20.4761904761905
2020-06-07,2020,24,103.786824823381,11.347789576677,329.152959177205,7.84450962771156,830.249761351326,31.729945063689,53.5801834546757,1.62182816405876,-48.0238095238095,-18.5833333333333,-34.0952380952381,-19.5952380952381,-31.047619047619,-18.75,-31.547619047619,-17.5714285714286
2020-06-14,2020,25,96.3682440406951,7.44790323637199,448.769239742438,7.56137446068164,1014.35353832837,33.9075819414032,64.5623182303319,2.92707893193174,-43.1428571428571,-13.5357142857143,-37.2857142857143,-21.25,-28.3333333333333,-18.1190476190476,-31.3809523809524,-17.5714285714286
2020-06-21,2020,26,75.3293835206286,6.48026226471737,651.527329355517,8.92708526635541,1149.97919305348,33.1505493787644,85.3879187416048,2.04873891244594,-41.1666666666667,-9.02380952380952,-32.4285714285714,-18.5714285714286,-29.6666666666667,-18.9404761904762,-31.8809523809524,-18.0238095238095
2020-06-28,2020,27,38.0018999777091,4.75023749721363,935.628486955313,10.2095210229027,1230.58446881247,33.6225264702861,104.063821717502,2.28815507539281,-39.7142857142857,-14.0714285714286,-28,-14.5119047619048,-28.5,-17.6309523809524,-30.8571428571429,-17.5238095238095
2020-07-05,2020,28,59.4219523957002,3.26945358604519,1269.22833375587,15.738984284899,1228.290005922,33.6645838348771,127.176856171147,2.45545793624725,-34.2619047619048,-7.66666666666667,-31.4285714285714,-17.452380952381,-26.1428571428571,-15.297619047619,-32.9047619047619,-19.2380952380952
2020-07-12,2020,29,74.9628528495473,2.16986157280129,1443.90607680351,16.2719445993083,1098.21125028241,34.1272148453786,164.60510222316,2.98765410568938,-31.0714285714286,-3.07142857142857,-35.0476190476191,-20.8928571428571,-26.0714285714286,-15.797619047619,-33.9047619047619,-20.4166666666667
2020-07-19,2020,30,67.6615618816078,1.74468599434698,1387.71207365298,28.4301017717699,1493.75141818018,35.8749319961621,222.00368502363,3.78162156172704,-29.8571428571429,-1.88095238095238,-33.6428571428571,-19.297619047619,-24.4761904761905,-14.1666666666667,-35.0952380952381,-21.3690476190476
2020-07-26,2020,31,77.1327144223485,1.45146145748194,1150.69462882928,24.9492047182843,1464.36266641205,33.2440101889667,263.277012343212,3.8248895429825,-29.1190476190476,-1.76190476190476,-30.7857142857143,-15.5833333333333,-23.952380952381,-13.7857142857143,-34.4285714285714,-20.3333333333333
2020-08-02,2020,32,85.3430014545696,1.04094710587089,831.051680262318,34.2593552106214,1423.10439174824,32.3094020869434,290.102439588575,4.33761512085968,-26.952380952381,0.238095238095238,-27.6428571428571,-12.8928571428571,-18.5714285714286,-8.82142857142857,-31.8571428571429,-20.3333333333333
2020-08-09,2020,33,111.659903638207,1.29018796220617,507.394874327458,24.4328994137004,1423.80067478425,31.566388645835,315.093304428707,4.76019907112132,-26.1190476190476,-1.78571428571429,-31.6666666666667,-15.7261904761905,-19.1904761904762,-10.4047619047619,-29,-19.8095238095238
2020-08-16,2020,34,105.883380261966,0.908996064281621,389.593989833182,21.8180628711298,1239.59876395649,32.7953982999955,328.106870924306,4.85034069873686,-30.2619047619048,-12.4404761904762,-28.6904761904762,-15.7738095238095,-23.5714285714286,-17.1428571428571,-28.5952380952381,-21.9166666666667
2020-08-23,2020,35,119.503659999347,1.0995920132439,258.252582350946,16.5550797663382,1232.70602920406,28.0943195468186,358.974969884971,4.89793547811786,-29.0714285714286,-13.3809523809524,-25.5,-13.2619047619048,-19.5952380952381,-14.25,-27.2380952380952,-20.9285714285714
2020-08-30,2020,36,167.313920735191,0.74772256900585,238.716255825881,13.2906978405814,1293.71724610414,27.7625336706004,411.823203323409,5.14023617314843,-28.9047619047619,-10.0714285714286,-23.7619047619048,-12.0952380952381,-16.0952380952381,-10.9047619047619,-25.4761904761905,-19.3571428571429
2020-09-06,2020,37,308.032375976724,1.08493078640064,188.701261320535,10.7924463667879,900.434156772761,23.3979138341518,461.918150887957,5.74021884655745,-25.9047619047619,-7.34523809523809,-23.2619047619048,-11.9880952380952,-19.2142857142857,-10.25,-23.6190476190476,-17.1190476190476
2020-09-13,2020,38,369.228336820457,1.99392685068227,190.566622420968,8.54402004037374,993.26877954673,24.8699215948384,466.041589501602,5.88877224886785,-20.5714285714286,2.55952380952381,-21.1904761904762,-11.6428571428571,-13.6190476190476,-6.85714285714286,-20.8095238095238,-13.6428571428571
2020-09-20,2020,39,570.600287512523,3.10818009076941,163.918606700504,7.26158428382642,886.71410983506,22.7763994463064,426.848009814367,5.58950204518427,-23.6190476190476,-4.27380952380952,-25.952380952381,-13.2857142857143,-16.6666666666667,-10.2142857142857,-21.3571428571429,-13.5595238095238
